번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(백만원),액면가(원),통화구분,대표전화,주소,총카운트
1,060310,3S,032602,전자부품 제조업,"40,892,268","20,446,134,000","500",원(KRW),02-896-9474,서울특별시 금천구  시흥대로71길 30-1 ,2046
2,095570,AJ네트웍스,126903,산업용 기계 및 장비 임대업,"9,364,459","46,822,295,000","5,000",원(KRW),02-6240-0800,"서울특별시 구로구 디지털로26길 5, 9층 ",2046
3,068400,AJ렌터카,126901,운송장비 임대업,"22,146,300","11,073,150,000","500",원(KRW),1544-1600,서울특별시 구로구  서부샛길 822 ,2046
4,006840,AK홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","13,247,561","66,237,805,000","5,000",원(KRW),02-6923-2921,서울특별시 구로구 구로중앙로 152(구로동) ,2046
5,054620,AP시스템,032902,특수 목적용 기계 제조업,"25,609,961","12,804,980,500","500",원(KRW),031-379-2700,경기도 화성시 동탄면 동탄산단8길 15-5 ,2046
6,211270,AP위성통신,032604,통신 및 방송 장비 제조업,"13,097,740","6,548,870,000","500",원(KRW),02-2026-7800,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp,2046
7,027410,BGF리테일,074701,종합 소매업,"24,773,964","24,773,964,000","1,000",,1577-3663,서울특별시 강남구 테헤란로 405 ,2046
8,138930,BNK금융지주,116409,기타 금융업,"325,935,246","1,629,676,230,000","5,000",원(KRW),051-620-3022,부산광역시 남구 문현금융로 30(문현동) ,2046
9,001460,BYC,031401,봉제의복 제조업,"624,615","4,200,000,000","5,000",원(KRW),02-840-3175,서울특별시 영등포구 도림천로21길 3 ,2046
10,032040,C&S자산관리,147509,기타 사업지원 서비스업,"28,554,841","71,387,102,500","2,500",원(KRW),02  -732 -9676,"서울특별시 종로구  사직로 130 (적선동,적선현대제1빌딩제907호)",2046
11,001040,CJ,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","29,146,498","157,762,310,000","5,000",원(KRW),02-726-8114,서울특별시 중구 소월로2길 12 (남대문로5가),2046
12,079160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,161,313","10,580,656,500","500",원(KRW),02-371-6660,서울시 마포구 월드컵북로 434 10층(상암동) ,2046
13,130960,CJ E&M,106002,텔레비전 방송업,"38,732,089","193,660,445,000","5,000",원(KRW),02-371-5501,서울특별시 마포구  상암산로 66 CJ E&M CENTER ,2046
14,000120,CJ대한통운,084903,도로 화물 운송업,"22,812,344","114,061,720,000","5,000",원(KRW),02-3782-0114,서울특별시 중구  세종대로9길 53 ,2046
15,011150,CJ씨푸드,031007,기타 식품 제조업,"35,930,773","18,065,386,500","500",원(KRW),031-730-9114,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),2046
16,035760,CJ오쇼핑,106002,텔레비전 방송업,"6,215,518","31,077,590,000","5,000",원(KRW),02-2107-0114,서울특별시 서초구  과천대로 870-13 ,2046
17,097950,CJ제일제당,031007,기타 식품 제조업,"13,160,198","72,438,155,000","5,000",원(KRW),726-8114,서울특별시 중구  동호로 330 ,2046
18,051500,CJ프레시웨이,074603,음·식료품 및 담배 도매업,"11,871,586","11,871,586,000","1,000",원(KRW),02-2149-6007,경기도 용인시 기흥구  기곡로 32  ,2046
19,037560,CJ헬로비전,106002,텔레비전 방송업,"77,446,865","193,617,162,500","2,500",원(KRW),02-1855-1000,"서울특별시 양천구 목동서로 159-1 (목동, 13층)",2046
20,058820,CMG제약,032102,의약품 제조업,"88,297,244","44,148,622,000","500",원(KRW),02-3453-8816,서울특별시 강남구 도산대로66길 14 (청담동),2046
21,023460,CNH,116402,투자기관,"37,200,000","93,000,000,000","2,500",원(KRW),02-3287-0700,"경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)",2046
22,065770,CS,032604,통신 및 방송 장비 제조업,"12,000,000","6,000,000,000","500",원(KRW),031-622-3200,"경기도 성남시 분당구  판교로228번길 15  삼평동, 판교세븐벤처밸리1 씨에스동",2046
23,083660,CSA 코스믹,032202,플라스틱제품 제조업,"13,961,033","6,980,516,500","500",원(KRW),02-483-0077,서울특별시 강남구 학동로30길 20 -,2046
24,000590,CS홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","1,154,482","5,772,410,000","5,000",원(KRW),02-3459-9363,경상북도 포항시 남구 괴동로 43 (장흥동),2046
25,139130,DGB금융지주,116409,기타 금융업,"169,053,154","845,265,770,000","5,000",원(KRW),0537407900,대구광역시 수성구  달구벌대로 2310 대구은행본점건물 15층 DGB금융지주,2046
26,068790,DMS,032902,특수 목적용 기계 제조업,"22,322,487","11,161,243,500","500",원(KRW),031-8031-1133,경기도 화성시 팔탄면 터넉골로 211 ,2046
27,004840,DRB동일,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","18,510,000","9,255,000,000","500",원(KRW),051-520-9000,부산광역시 금정구 공단동로55번길 28 ,2046
28,155660,DSR,031309,기타 섬유제품 제조업,"16,000,000","8,000,000,000","500",원(KRW),02-3420-3591,부산광역시 강서구 녹산산업중로192번길 7 ,2046
29,069730,DSR제강,032401,1차 철강 제조업,"14,400,000","7,200,000,000","500",원(KRW),061-752-0121,전라남도 순천시  서면 산단1길 15 ,2046
30,017940,E1,074607,기타 전문 도매업,"6,860,000","34,300,000,000","5,000",원(KRW),02-3441-4114,"서울특별시 강남구  영동대로 517 아셈타워 13,14층",2046
31,037370,EG,074607,기타 전문 도매업,"7,500,000","7,500,000,000","1,000",원(KRW),041 -750 -7777,충청남도 금산군 추부면 서대산로 459 ,2046
32,079190,EMW,032604,통신 및 방송 장비 제조업,"27,320,699","13,660,349,500","500",원(KRW),02-2107-5500,"인천광역시 남동구  남동서로 155 (고잔동, 남동공단80블럭4로트)",2046
33,007700,F&F,031401,봉제의복 제조업,"15,400,000","7,700,000,000","500",원(KRW),02-520-0001,"서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩) ",2046
34,114090,GKL,189102,유원지 및 기타 오락관련 서비스업,"61,855,670","30,927,835,000","500",원(KRW),3466-6209,서울특별시 강남구 삼성로 610 삼성동,2046
35,078930,GS,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","92,915,378","473,501,020,000","5,000",원(KRW),-,서울특별시 강남구 논현로 508 ,2046
36,083450,GST,032902,특수 목적용 기계 제조업,"9,317,745","4,658,872,500","500",원(KRW),031-371-2200,경기도 화성시 동탄면 동탄산단6길 15-13 ,2046
37,006360,GS건설,064101,건물 건설업,"71,000,000","355,000,000,000","5,000",원(KRW),02-2154-1112,서울특별시 종로구 종로 33 그랑서울,2046
38,001250,GS글로벌,074608,상품 종합 도매업,"22,533,764","56,334,410,000","2,500",원(KRW),02-2270-8114,서울특별시 강남구 논현로 508 GS강남타워 ,2046
39,007070,GS리테일,074701,종합 소매업,"77,000,000","77,000,000,000","1,000",원(KRW),02-2005-1114,서울특별시 강남구 논현로 508GS타워(역삼동 679) ,2046
40,028150,GS홈쇼핑,106002,텔레비전 방송업,"6,562,500","32,812,500,000","5,000",원(KRW),02-2007-4153,서울특별시 영등포구  선유로 75 GS강서타워 (문래동6가),2046
41,078150,HB테크놀러지,032902,특수 목적용 기계 제조업,"77,029,313","38,514,656,500","500",원(KRW),031-332-0060,충청남도 아산시 음봉면 산동로 87 ,2046
42,001500,HMC투자증권,116601,금융지원 서비스업,"29,337,111","146,685,555,000","5,000",원(KRW),02-3787-2114,서울특별시 영등포구  국제금융로2길 32 ,2046
43,036640,HRS,032003,합성고무 및 플라스틱 물질 제조업,"16,354,800","8,177,400,000","500",원(KRW),02  -780 -6156,경기도 평택시  팽성읍 추팔산단2길 7 ,2046
44,204840,IBKS제2호스팩,116601,금융지원 서비스업,"4,500,000","450,000,000","100",원(KRW),02-6915-5342,서울특별시 영등포구 국제금융로6길 11 삼덕빌딩 6층 ,2046
45,225430,IBKS제3호스팩,116601,금융지원 서비스업,"4,500,000","450,000,000","100",원(KRW),02-6915-5342,"서울특별시 영등포구 국제금융로6길 11(여의도동, 삼덕빌딩) &nbsp",2046
46,230980,IBKS제4호스팩,116601,금융지원 서비스업,"2,000,000","200,000,000","100",원(KRW),02-6915-5342,"서울특별시 영등포구 국제금융로6길 11, 6층(여의도동, 삼덕빌딩) &nbsp",2046
47,095340,ISC,032602,전자부품 제조업,"12,957,132","6,478,566,000","500",원(KRW),031-777-7675,"경기도 성남시 중원구  갈마치로 215 (상대원동, 금강펜테리움IT타워 6층)",2046
48,099520,ITX시큐리티,032605,영상 및 음향기기 제조업,"14,113,383","7,056,691,500","500",원(KRW),02-2082-8379,서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호,2046
49,175330,JB금융지주,116409,기타 금융업,"155,439,423","777,197,115,000","5,000",원(KRW),02-2128-2727,전라북도 전주시 덕진구  백제대로 566 ,2046
50,067290,JW신약,032102,의약품 제조업,"39,044,958","19,522,479,000","500",원(KRW),02-840-6111,서울특별시 서초구 남부순환로 2477 ,2046
51,001060,JW중외제약,032102,의약품 제조업,"18,742,676","47,458,110,000","2,500",원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477 ,2046
52,096760,JW홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","57,746,173","28,873,086,500","500",원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477 ,2046
53,035900,JYP Ent.,105902,오디오물 출판 및 원판 녹음업,"34,043,012","17,021,506,000","500",원(KRW),02-6347-0163,서울특별시 강남구  도산대로 537 운촌빌딩 3층 ,2046
54,105560,KB금융,116409,기타 금융업,"386,351,693","1,931,758,465,000","5,000",원(KRW),02-2073-7114,서울특별시 중구  남대문로 84 ,2046
55,002550,KB손해보험,116501,보험업,"60,000,000","30,000,000,000","500",원(KRW),-1544-0114,서울특별시 강남구 테헤란로 117 LIG손해보험,2046
56,024120,KB오토시스,033003,자동차 부품 제조업,"11,500,000","5,750,000,000","500",원(KRW),041-537-5345,충청남도 아산시  음봉면 아산온천로 528-24 ,2046
